experiment,dataset,seed,model,method,pi_train,pi_test,c10,c01,tp,fp,tn,fn,tpr,fpr,tnr,fnr,precision,recall,f1,accuracy,risk,roc_auc,pr_auc,brier,logloss,threshold,neff,notes
exp1,synthetic,0,LogisticRegression,nocorr,0.2,0.5,1.0,1.0,6919,442,9558,3081,0.6919,0.0442,0.9558,0.30810000000000004,0.9399538106235565,0.6919,0.7970739012729682,0.82385,0.17615,0.94156735,0.9416242963224519,0.12490993574007682,0.3933849512696959,0.0,,fixed_threshold
exp1,synthetic,0,LogisticRegression,offset,0.2,0.5,1.0,1.0,8698,1404,8596,1302,0.8698,0.1404,0.8596,0.13019999999999998,0.8610176202732133,0.8698,0.8653865287036115,0.8647,0.1353,0.94156735,0.9416242963224519,0.09600058008133357,0.30860151905289984,0.0,,offset_corrected
exp1,synthetic,0,LogisticRegression,oracle_threshold,0.2,0.5,1.0,1.0,8962,1688,8312,1038,0.8962,0.1688,0.8312,0.1038,0.8415023474178404,0.8962,0.8679903147699758,0.8637,0.1363,0.94156735,0.9416242963224519,0.09600058008133357,0.30860151905289984,-0.2842431422139009,,tuned_on_400_samples
exp1,synthetic,0,LogisticRegression,nocorr,0.2,0.5,10.0,1.0,2997,33,9967,7003,0.2997,0.0033,0.9967,0.7002999999999999,0.9891089108910891,0.2997,0.4600153491941673,0.6482,0.36665,0.94156735,0.9416242963224519,0.12490993574007682,0.3933849512696959,2.302585092994046,,fixed_threshold
exp1,synthetic,0,LogisticRegression,offset,0.2,0.5,10.0,1.0,5314,181,9819,4686,0.5314,0.0181,0.9819,0.4686,0.9670609645131938,0.5314,0.6858986769925782,0.75665,0.3248,0.94156735,0.9416242963224519,0.09600058008133357,0.30860151905289984,2.302585092994046,,offset_corrected
exp1,synthetic,0,LogisticRegression,oracle_threshold,0.2,0.5,10.0,1.0,5352,186,9814,4648,0.5352,0.0186,0.9814,0.4648,0.9664138678223185,0.5352,0.6888917492598791,0.7583,0.3254,0.94156735,0.9416242963224519,0.09600058008133357,0.30860151905289984,2.2749499611860573,,tuned_on_400_samples
exp1,synthetic,0,LogisticRegression,nocorr,0.2,0.5,1.0,10.0,9413,2525,7475,587,0.9413,0.2525,0.7475,0.058699999999999974,0.7884905344278774,0.9413,0.8581456832892698,0.8444,0.41975,0.94156735,0.9416242963224519,0.12490993574007682,0.3933849512696959,-2.3025850929940455,,fixed_threshold
exp1,synthetic,0,LogisticRegression,offset,0.2,0.5,1.0,10.0,9870,4832,5168,130,0.987,0.4832,0.5168,0.013000000000000012,0.6713372330295198,0.987,0.7991255768763663,0.7519,0.3066,0.94156735,0.9416242963224519,0.09600058008133357,0.30860151905289984,-2.3025850929940455,,offset_corrected
exp1,synthetic,0,LogisticRegression,oracle_threshold,0.2,0.5,1.0,10.0,9866,4771,5229,134,0.9866,0.4771,0.5229,0.013399999999999967,0.6740452278472364,0.9866,0.8009092016073386,0.75475,0.30555,0.94156735,0.9416242963224519,0.09600058008133357,0.30860151905289984,-2.2744773830389224,,tuned_on_400_samples
exp1,synthetic,0,XGBoost,nocorr,0.2,0.5,1.0,1.0,6927,460,9540,3073,0.6927,0.046,0.954,0.3073,0.937728441857317,0.6927,0.7968022085466153,0.82335,0.17665,0.9398129299999999,0.9400939867855477,0.12631800770759583,0.4010887985643677,0.0,,fixed_threshold
