experiment,dataset,seed,model,method,alpha,pi_train,pi_test,c10,c01,tp,fp,tn,fn,tpr,fpr,tnr,fnr,precision,recall,f1,accuracy,risk,roc_auc,pr_auc,brier,logloss,threshold,neff,n_train,n_train_used,notes,mean_angle_deg,logit_variance
exp3,synthetic,0,LogisticRegression,undersample,0,0.2,0.2,1.0,1.0,1741,1066,6934,259,0.8705,0.13325,0.86675,0.12949999999999995,0.6202351264695405,0.8705,0.7243603078843354,0.8675,0.1325,0.9425363124999999,0.8394530602635432,0.0960478200621498,0.31020426141616025,0.0,16000.0,40000,16000,alpha=0,2.9491689077671412,0.00913740869454252
exp3,synthetic,0,LogisticRegression,weighted_alpha1,1,0.2,0.2,1.0,1.0,1383,327,7673,617,0.6915,0.040875,0.959125,0.3085,0.8087719298245614,0.6915,0.7455525606469002,0.9056,0.0944,0.942447875,0.8393045325008031,0.06944037152393683,0.2310709976490487,0.0,40000.0,40000,40000,alpha=1,1.7212604018358904,0.0035266284361359012
exp3,synthetic,0,LogisticRegression,weighted_alpha5,5,0.2,0.2,1.0,1.0,1774,1240,6760,226,0.887,0.155,0.845,0.11299999999999999,0.5885865958858659,0.887,0.707618667730355,0.8534,0.1466,0.9424714999999999,0.8392869848210258,0.10596049101613339,0.33912020595399084,0.0,22344.82758620689,40000,40000,alpha=5,2.0087096094951664,0.004353020960438101
exp3,synthetic,0,LogisticRegression,weighted_alpha10,10,0.2,0.2,1.0,1.0,1877,1993,6007,123,0.9385,0.249125,0.750875,0.0615,0.4850129198966408,0.9385,0.6395229982964225,0.7884,0.2116,0.9424747499999999,0.83930733263628,0.14774593512485085,0.4617357492293121,0.0,15076.923076923078,40000,40000,alpha=10,2.228385618408768,0.00513515427318272
exp3,synthetic,0,LogisticRegression,weighted_alpha20,20,0.2,0.2,1.0,1.0,1937,2889,5111,63,0.9685,0.361125,0.638875,0.03149999999999997,0.40136759220886864,0.9685,0.5675358921769704,0.7048,0.2952,0.9424719374999999,0.8393018679105918,0.20539809662668804,0.6378134142821347,0.0,11405.940594059404,40000,40000,alpha=20,2.4940128994191846,0.0063989434514055464
exp3,synthetic,0,LogisticRegression,weighted_alpha50,50,0.2,0.2,1.0,1.0,1978,4174,3826,22,0.989,0.52175,0.47825,0.01100000000000001,0.3215214564369311,0.989,0.48527968596663396,0.5804,0.4196,0.9424458124999999,0.8391968688752365,0.3007134843258364,0.9573459216083631,0.0,9316.293929712458,40000,40000,alpha=50,2.9198728383603103,0.008978350025334867
exp3,synthetic,1,LogisticRegression,undersample,0,0.2,0.2,1.0,1.0,1739,1033,6967,261,0.8695,0.129125,0.870875,0.13049999999999995,0.6273448773448773,0.8695,0.7288348700754401,0.8706,0.1294,0.942453625,0.8391593580390582,0.09526376585630587,0.3080034155993926,0.0,16000.0,40000,16000,alpha=0,2.9491689077671412,0.00913740869454252
exp3,synthetic,1,LogisticRegression,weighted_alpha1,1,0.2,0.2,1.0,1.0,1361,317,7683,639,0.6805,0.039625,0.960375,0.3195,0.8110846245530393,0.6805,0.7400761283306144,0.9044,0.0956,0.9425262499999999,0.8396223749700866,0.06939615926887473,0.23089077816607734,0.0,40000.0,40000,40000,alpha=1,1.7212604018358904,0.0035266284361359012
exp3,synthetic,1,LogisticRegression,weighted_alpha5,5,0.2,0.2,1.0,1.0,1769,1207,6793,231,0.8845,0.150875,0.849125,0.11550000000000005,0.5944220430107527,0.8845,0.7110128617363344,0.8562,0.1438,0.9424783750000001,0.8394379497493495,0.10363144602340905,0.33228810961281763,0.0,22344.82758620689,40000,40000,alpha=5,2.0087096094951664,0.004353020960438101
exp3,synthetic,1,LogisticRegression,weighted_alpha10,10,0.2,0.2,1.0,1.0,1866,1931,6069,134,0.933,0.241375,0.758625,0.06699999999999995,0.4914406110086911,0.933,0.643781266172158,0.7935,0.2065,0.9424463125000001,0.8393672441093039,0.14417947580980123,0.45114737664507937,0.0,15076.923076923078,40000,40000,alpha=10,2.228385618408768,0.00513515427318272
exp3,synthetic,1,LogisticRegression,weighted_alpha20,20,0.2,0.2,1.0,1.0,1930,2819,5181,70,0.965,0.352375,0.647625,0.03500000000000003,0.4064013476521373,0.965,0.5719365831975107,0.7111,0.2889,0.9424064999999999,0.8392857672663572,0.2008929711666492,0.6233790900088898,0.0,11405.940594059404,40000,40000,alpha=20,2.4940128994191846,0.0063989434514055464
exp3,synthetic,1,LogisticRegression,weighted_alpha50,50,0.2,0.2,1.0,1.0,1978,4139,3861,22,0.989,0.517375,0.482625,0.01100000000000001,0.3233611247343469,0.989,0.4873721818405815,0.5839,0.4161,0.9423509375000002,0.8392275539240512,0.29636928646769906,0.9396322667222968,0.0,9316.293929712458,40000,40000,alpha=50,2.9198728383603103,0.008978350025334867
exp3,synthetic,2,LogisticRegression,undersample,0,0.2,0.2,1.0,1.0,1733,1028,6972,267,0.8665,0.1285,0.8715,0.13349999999999995,0.6276711336472293,0.8665,0.7279983196807394,0.8705,0.1295,0.9424989375,0.8394311738310389,0.09421775216756298,0.3049167191289621,0.0,16000.0,40000,16000,alpha=0,2.9491689077671412,0.00913740869454252
exp3,synthetic,2,LogisticRegression,weighted_alpha1,1,0.2,0.2,1.0,1.0,1372,317,7683,628,0.686,0.039625,0.960375,0.31399999999999995,0.8123149792776792,0.686,0.7438330170777988,0.9055,0.0945,0.9424795625000001,0.8393911186098469,0.06941855592976567,0.2309704625519019,0.0,40000.0,40000,40000,alpha=1,1.7212604018358904,0.0035266284361359012
